 ,Label,Area,Circ.,AR,Round,Solidity
743,sample1_thresholded.tif,406.023,0.567,3.005,0.333,0.865
744,sample1_thresholded.tif,212.940,0.818,1.256,0.796,0.926
745,sample1_thresholded.tif,191.815,0.802,1.311,0.763,0.913
746,sample1_thresholded.tif,194.773,0.909,1.214,0.824,0.953
747,sample1_thresholded.tif,216.320,0.700,1.903,0.525,0.902
748,sample1_thresholded.tif,358.280,0.807,1.639,0.610,0.954
749,sample1_thresholded.tif,190.125,0.864,1.320,0.757,0.933
750,sample1_thresholded.tif,166.043,0.838,1.244,0.804,0.926
751,sample1_thresholded.tif,370.955,0.837,1.357,0.737,0.944
752,sample1_thresholded.tif,216.320,0.793,1.577,0.634,0.945
753,sample1_thresholded.tif,191.815,0.861,1.338,0.747,0.927
754,sample1_thresholded.tif,185.055,0.805,1.619,0.618,0.932
755,sample1_thresholded.tif,196.885,0.859,1.187,0.842,0.934
756,sample1_thresholded.tif,196.885,0.786,1.860,0.538,0.916
757,sample1_thresholded.tif,194.773,0.909,1.092,0.916,0.944
758,sample1_thresholded.tif,205.335,0.831,1.357,0.737,0.923
759,sample1_thresholded.tif,192.660,0.841,1.529,0.654,0.928
760,sample1_thresholded.tif,429.683,0.784,1.467,0.682,0.929
761,sample1_thresholded.tif,352.788,0.894,1.284,0.779,0.959
762,sample1_thresholded.tif,204.913,0.850,1.534,0.652,0.940
763,sample1_thresholded.tif,163.085,0.823,1.425,0.702,0.950
764,sample1_thresholded.tif,230.263,0.866,1.114,0.897,0.926
765,sample1_thresholded.tif,185.055,0.858,1.333,0.750,0.938
766,sample1_thresholded.tif,166.465,0.923,1.280,0.781,0.944
767,sample1_thresholded.tif,226.460,0.863,1.248,0.801,0.935
768,sample1_thresholded.tif,248.430,0.748,1.266,0.790,0.894
769,sample1_thresholded.tif,20.280,0.653,1.637,0.611,0.828
770,sample1_thresholded.tif,231.530,0.818,1.249,0.800,0.920
771,sample1_thresholded.tif,404.333,0.873,1.436,0.696,0.957
772,sample1_thresholded.tif,179.563,0.804,1.592,0.628,0.928
773,sample1_thresholded.tif,201.110,0.767,1.718,0.582,0.922
774,sample1_thresholded.tif,208.715,0.921,1.161,0.862,0.945
775,sample1_thresholded.tif,156.325,0.864,1.592,0.628,0.943
776,sample1_thresholded.tif,190.125,0.825,1.758,0.569,0.951
777,sample1_thresholded.tif,208.293,0.876,1.290,0.775,0.935
778,sample1_thresholded.tif,164.775,0.792,1.612,0.620,0.922
779,sample1_thresholded.tif,223.925,0.863,1.177,0.850,0.939
780,sample1_thresholded.tif,231.530,0.810,1.291,0.774,0.915
781,sample1_thresholded.tif,188.858,0.829,1.538,0.650,0.924
782,sample1_thresholded.tif,212.940,0.769,1.636,0.611,0.935
783,sample1_thresholded.tif,205.758,0.861,1.474,0.679,0.932
784,sample1_thresholded.tif,581.783,0.717,1.560,0.641,0.900
785,sample1_thresholded.tif,204.490,0.885,1.227,0.815,0.935
786,sample1_thresholded.tif,408.980,0.677,2.388,0.419,0.920
787,sample1_thresholded.tif,177.450,0.722,1.668,0.600,0.904
788,sample1_thresholded.tif,246.740,0.795,1.409,0.710,0.935
789,sample1_thresholded.tif,151.255,0.810,1.474,0.679,0.950
790,sample1_thresholded.tif,435.175,0.783,1.750,0.572,0.935
791,sample1_thresholded.tif,189.703,0.898,1.230,0.813,0.939
792,sample1_thresholded.tif,179.563,0.881,1.373,0.728,0.935
